,latitude,longitude,altitude,geometry,coordinates,timestamp,version,changeset,type,building,addr:street,addr:housename,building:levels,id,addr:city,addr:postcode,addr:housenumber,d_num,name,amenity,club,shop,source,addr:country,office,administrative,training,tourism,cuisine,leisure,healthcare,opening_hours,outdoor_seating,phone,website,studio,layer,resort,fuel:cng,fuel:diesel,fuel:octane_92,fuel:octane_95,building:flats,highway,ref,oneway,surface,lanes,maxspeed,bridge,service,name:ru,living_street,tracktype,junction,footway,tunnel,fixme,ford,railway,traffic_signals,access,barrier,crossing,smoking,internet_access,entrance,bus,public_transport,waterway,foot,horse,bicycle,motor_vehicle
796,,,,"POLYGON ((61.9170335 57.3407994, 61.917051 57.3406755, 61.917609 57.3406984, 61.9175915 57.3408224, 61.9170335 57.3407994))","61.9170335,57.3407994,61.917051,57.3406755,61.917609,57.3406984,61.9175915,57.3408224,61.9170335,57.3407994",1970-01-01T00:00:01Z,1,1,,apartments,Чапаева,,,way/503379027,Артёмовский,623785.0,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
797,,,,"POLYGON ((61.9179213 57.3389736, 61.9179387 57.3388496, 61.9186175 57.3388775, 61.9186 57.3390014, 61.9179213 57.3389736))","61.9179213,57.3389736,61.9179387,57.3388496,61.9186175,57.3388775,61.9186,57.3390014,61.9179213,57.3389736",1970-01-01T00:00:01Z,1,1,,apartments,Суворова,,2.0,way/503379029,Артёмовский,623785.0,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
798,,,,"POLYGON ((61.9186428 57.3379505, 61.9186603 57.3378266, 61.9193391 57.3378545, 61.9193216 57.3379784, 61.9186428 57.3379505))","61.9186428,57.3379505,61.9186603,57.3378266,61.9193391,57.3378545,61.9193216,57.3379784,61.9186428,57.3379505",1970-01-01T00:00:01Z,1,1,,apartments,Чайковского,,2.0,way/503379030,Артёмовский,623785.0,11,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
799,,,,"POLYGON ((61.9178032 57.3375868, 61.9178207 57.3374629, 61.9184995 57.3374908, 61.918482 57.3376147, 61.9178032 57.3375868))","61.9178032,57.3375868,61.9178207,57.3374629,61.9184995,57.3374908,61.918482,57.3376147,61.9178032,57.3375868",1970-01-01T00:00:01Z,1,1,,apartments,Станиславского,,2.0,way/503379031,Артёмовский,623785.0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
800,,,,"POLYGON ((61.9166926 57.3366479, 61.9167101 57.3365239, 61.9173889 57.3365518, 61.9173714 57.3366758, 61.9166926 57.3366479))","61.9166926,57.3366479,61.9167101,57.3365239,61.9173889,57.3365518,61.9173714,57.3366758,61.9166926,57.3366479",1970-01-01T00:00:01Z,1,1,,apartments,Вайнера,,3.0,way/503379032,Артёмовский,623785.0,1А,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
801,,,,"POLYGON ((61.9183611 57.3364823, 61.9183786 57.3363584, 61.9190574 57.3363863, 61.9190399 57.3365102, 61.9183611 57.3364823))","61.9183611,57.3364823,61.9183786,57.3363584,61.9190574,57.3363863,61.9190399,57.3365102,61.9183611,57.3364823",1970-01-01T00:00:01Z,1,1,,apartments,Вайнера,,3.0,way/503379033,Артёмовский,623785.0,3А,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,,,,"POLYGON ((61.9179948 57.3371881, 61.9180142 57.3370642, 61.9186925 57.3370951, 61.9186732 57.337219, 61.9179948 57.3371881))","61.9179948,57.3371881,61.9180142,57.3370642,61.9186925,57.3370951,61.9186732,57.337219,61.9179948,57.3371881",1970-01-01T00:00:01Z,1,1,,apartments,Станиславского,,2.0,way/503379034,Артёмовский,623785.0,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,,,,"POLYGON ((61.919168 57.3377473, 61.9191913 57.3375418, 61.9193638 57.3375475, 61.9193404 57.337753, 61.919168 57.3377473))","61.919168,57.3377473,61.9191913,57.3375418,61.9193638,57.3375475,61.9193404,57.337753,61.919168,57.3377473",1970-01-01T00:00:01Z,1,1,,apartments,9 Января,,1.0,way/503380400,Артёмовский,623785.0,22,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,,,,"POLYGON ((61.9161006 57.3383161, 61.9162758 57.3383219, 61.9162759 57.3383216, 61.9164858 57.3383286, 61.9164614 57.3385434, 61.9162513 57.3385364, 61.9162635 57.3384291, 61.9160891 57.3384234, 61.916045 57.338811, 61.9157984 57.3388028, 61.9158548 57.3383074, 61.9161007 57.3383156, 61.9161006 57.3383161))","61.9161006,57.3383161,61.9162758,57.3383219,61.9162759,57.3383216,61.9164858,57.3383286,61.9164614,57.3385434,61.9162513,57.3385364,61.9162635,57.3384291,61.9160891,57.3384234,61.916045,57.338811,61.9157984,57.3388028,61.9158548,57.3383074,61.9161007,57.3383156,61.9161006,57.3383161",1970-01-01T00:00:01Z,1,1,,school,Чайковского,,,way/503380411,Артёмовский,623785.0,2,9,Средняя школа №6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
805,,,,"POLYGON ((61.9162024 57.3398283, 61.9162185 57.3397197, 61.9164514 57.3397297, 61.9164353 57.3398383, 61.9162024 57.3398283))","61.9162024,57.3398283,61.9162185,57.3397197,61.9164514,57.3397297,61.9164353,57.3398383,61.9162024,57.3398283",1970-01-01T00:00:01Z,1,1,,house,Чкалова,,,way/503380412,Артёмовский,623785.0,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,,,,"POLYGON ((61.9188028 57.3393202, 61.9188189 57.3392116, 61.9191438 57.3392256, 61.9191277 57.3393342, 61.9188028 57.3393202))","61.9188028,57.3393202,61.9188189,57.3392116,61.9191438,57.3392256,61.9191277,57.3393342,61.9188028,57.3393202",1970-01-01T00:00:01Z,1,1,,house,Суворова,,,way/503380414,Артёмовский,623785.0,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,,,,"POLYGON ((61.9188296 57.3402213, 61.9188497 57.3400801, 61.9191101 57.3400908, 61.91909 57.3402321, 61.9188296 57.3402213))","61.9188296,57.3402213,61.9188497,57.3400801,61.9191101,57.3400908,61.91909,57.3402321,61.9188296,57.3402213",1970-01-01T00:00:01Z,1,1,,house,Чкалова,,,way/503380417,Артёмовский,623785.0,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,,,,"POLYGON ((61.9185447 57.3408761, 61.9185608 57.3407878, 61.9189165 57.3408067, 61.9189004 57.340895, 61.9185447 57.3408761))","61.9185447,57.3408761,61.9185608,57.3407878,61.9189165,57.3408067,61.9189004,57.340895,61.9185447,57.3408761",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503380418,Артёмовский,623785.0,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,,,,"POLYGON ((61.9178934 57.3408427, 61.9179042 57.3407689, 61.9182313 57.3407827, 61.9182205 57.3408566, 61.9178934 57.3408427))","61.9178934,57.3408427,61.9179042,57.3407689,61.9182313,57.3407827,61.9182205,57.3408566,61.9178934,57.3408427",1970-01-01T00:00:01Z,1,1,,house,Чапаева,,,way/503380420,Артёмовский,623785.0,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,,,,"POLYGON ((61.9159832 57.3407629, 61.9159978 57.3406828, 61.9163337 57.3407006, 61.9163192 57.3407807, 61.9159832 57.3407629))","61.9159832,57.3407629,61.9159978,57.3406828,61.9163337,57.3407006,61.9163192,57.3407807,61.9159832,57.3407629",1970-01-01T00:00:01Z,1,1,,apartments,Чапаева,,1.0,way/503380424,Артёмовский,623785.0,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
